host_lane,isolation,mechanism,iteration,status,elapsed_ms,work_units,work_unit,rate_per_second,rate_unit,observed_value,observed_unit,exit_code,note
a3s-os-linux-x86_64-kvm,microvm,preflight_noop,1,pass,2620.069,1.000,operation,0.381669,operations/s,,,0,
a3s-os-linux-x86_64-kvm,sandbox,preflight_noop,1,fail,1316.046,1.000,operation,0.759852,operations/s,,,1,command failed; inspect sample log
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,1,pass,2168.438,1.000,operation,0.461161,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,2,pass,2170.084,1.000,operation,0.460812,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,3,pass,2269.957,1.000,operation,0.440537,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,4,pass,2272.560,1.000,operation,0.440032,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,5,pass,2217.436,1.000,operation,0.450971,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,6,pass,2168.711,1.000,operation,0.461103,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,7,pass,2120.431,1.000,operation,0.471602,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,8,pass,2069.642,1.000,operation,0.483175,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,9,pass,2267.799,1.000,operation,0.440956,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,10,pass,2219.124,1.000,operation,0.450628,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,11,pass,2317.892,1.000,operation,0.431427,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,12,pass,2373.264,1.000,operation,0.421361,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,13,pass,2168.803,1.000,operation,0.461084,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,14,pass,2169.871,1.000,operation,0.460857,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,15,pass,2268.369,1.000,operation,0.440845,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,16,pass,2269.624,1.000,operation,0.440602,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,17,pass,2373.740,1.000,operation,0.421276,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,18,pass,2219.093,1.000,operation,0.450634,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,19,pass,2417.866,1.000,operation,0.413588,operations/s,,,0,
a3s-os-linux-x86_64-kvm,microvm,cold_noop_lifecycle,20,pass,2267.760,1.000,operation,0.440964,operations/s,,,0,
