host_lane,isolation,mechanism,iteration,status,elapsed_ms,work_units,work_unit,rate_per_second,rate_unit,observed_value,observed_unit,exit_code,note
a3s-os-linux-x86_64-sandbox-persistent,sandbox,persistent_preflight_start,1,pass,1416.993,1.000,operation,0.705720,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,persistent_preflight_remove,1,pass,765.625,1.000,operation,1.306122,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,1,pass,1065.828,1.000,operation,0.938237,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,1,pass,715.873,1.000,operation,1.396896,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,2,pass,1118.608,1.000,operation,0.893969,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,2,pass,715.035,1.000,operation,1.398533,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,3,pass,1065.891,1.000,operation,0.938182,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,3,pass,765.961,1.000,operation,1.305550,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,4,pass,1218.815,1.000,operation,0.820469,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,4,pass,765.374,1.000,operation,1.306552,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,5,pass,1065.760,1.000,operation,0.938297,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,5,pass,765.295,1.000,operation,1.306686,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,6,pass,915.517,1.000,operation,1.092279,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,6,pass,715.305,1.000,operation,1.398006,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,7,pass,965.626,1.000,operation,1.035597,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,7,pass,765.093,1.000,operation,1.307030,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,8,pass,915.573,1.000,operation,1.092213,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,8,pass,765.009,1.000,operation,1.307174,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,9,pass,1115.884,1.000,operation,0.896151,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,9,pass,664.951,1.000,operation,1.503870,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,10,pass,966.763,1.000,operation,1.034380,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,10,pass,715.197,1.000,operation,1.398215,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,11,pass,1015.524,1.000,operation,0.984714,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,11,pass,665.014,1.000,operation,1.503728,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,12,pass,916.337,1.000,operation,1.091301,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,12,pass,664.928,1.000,operation,1.503922,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,13,pass,1015.620,1.000,operation,0.984620,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,13,pass,915.731,1.000,operation,1.092024,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,14,pass,916.425,1.000,operation,1.091197,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,14,pass,664.994,1.000,operation,1.503772,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,15,pass,916.147,1.000,operation,1.091528,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,15,pass,664.932,1.000,operation,1.503914,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,16,pass,865.232,1.000,operation,1.155759,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,16,pass,664.738,1.000,operation,1.504352,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,17,pass,865.178,1.000,operation,1.155831,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,17,pass,664.911,1.000,operation,1.503962,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,18,pass,1015.622,1.000,operation,0.984619,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,18,pass,665.017,1.000,operation,1.503721,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,19,pass,1015.514,1.000,operation,0.984723,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,19,pass,615.223,1.000,operation,1.625428,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_start,20,pass,1115.756,1.000,operation,0.896253,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,detached_remove,20,pass,714.934,1.000,operation,1.398731,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,1,pass,966.572,1.000,operation,1.034584,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,1,pass,667.910,1.000,operation,1.497208,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,2,pass,965.610,1.000,operation,1.035614,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,2,pass,565.134,1.000,operation,1.769492,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,3,pass,1066.191,1.000,operation,0.937918,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,3,pass,564.760,1.000,operation,1.770663,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,4,pass,965.397,1.000,operation,1.035844,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,4,pass,664.810,1.000,operation,1.504190,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,5,pass,865.664,1.000,operation,1.155182,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,5,pass,565.822,1.000,operation,1.767340,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,6,pass,1015.583,1.000,operation,0.984656,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,6,pass,514.769,1.000,operation,1.942618,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,7,pass,1115.713,1.000,operation,0.896288,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,7,pass,666.182,1.000,operation,1.501092,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,8,pass,865.543,1.000,operation,1.155344,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,8,pass,564.666,1.000,operation,1.770958,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,9,pass,965.351,1.000,operation,1.035893,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,9,pass,564.672,1.000,operation,1.770938,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_start,10,pass,968.462,1.000,operation,1.032565,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,volume_backed_init_remove,10,pass,665.641,1.000,operation,1.502311,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,idle_memory,1,pass,,,,,,7544832.000,bytes,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,1,pass,113.913,1.000,operation,8.778613,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,2,pass,113.888,1.000,operation,8.780562,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,3,pass,113.886,1.000,operation,8.780708,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,4,pass,113.905,1.000,operation,8.779253,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,5,pass,113.840,1.000,operation,8.784234,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,6,pass,113.883,1.000,operation,8.780939,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,7,pass,114.009,1.000,operation,8.771210,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,8,pass,113.951,1.000,operation,8.775711,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,9,pass,63.855,1.000,operation,15.660412,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,10,pass,113.957,1.000,operation,8.775244,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,11,pass,114.040,1.000,operation,8.768889,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,12,pass,63.775,1.000,operation,15.680021,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,13,pass,113.831,1.000,operation,8.784988,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,14,pass,113.803,1.000,operation,8.787090,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,15,pass,113.784,1.000,operation,8.788594,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,16,pass,114.032,1.000,operation,8.769465,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,17,pass,113.876,1.000,operation,8.781476,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,18,pass,113.831,1.000,operation,8.784917,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,19,pass,63.873,1.000,operation,15.656154,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,20,pass,113.941,1.000,operation,8.776499,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,21,pass,113.857,1.000,operation,8.782951,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,22,pass,114.588,1.000,operation,8.726911,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,23,pass,113.945,1.000,operation,8.776155,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,24,pass,114.175,1.000,operation,8.758464,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,25,pass,114.027,1.000,operation,8.769856,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,26,pass,113.911,1.000,operation,8.778804,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,27,pass,113.898,1.000,operation,8.779780,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,28,pass,113.829,1.000,operation,8.785121,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,29,pass,113.951,1.000,operation,8.775704,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,exec_noop,30,pass,113.965,1.000,operation,8.774627,operations/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,cpu_sha256,1,pass,1415.832,256.000,MiB,180.812384,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,cpu_sha256,2,pass,1416.579,256.000,MiB,180.717072,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,cpu_sha256,3,pass,1466.664,256.000,MiB,174.545752,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,cpu_sha256,4,pass,1468.294,256.000,MiB,174.351952,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,cpu_sha256,5,pass,1466.416,256.000,MiB,174.575255,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,memory_zero_copy,1,pass,114.395,512.000,MiB,4475.709842,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,memory_zero_copy,2,pass,113.953,512.000,MiB,4493.081821,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,memory_zero_copy,3,pass,114.024,512.000,MiB,4490.299839,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,memory_zero_copy,4,pass,114.035,512.000,MiB,4489.862561,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,memory_zero_copy,5,pass,64.137,512.000,MiB,7982.951658,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_write,1,pass,364.488,256.000,MiB,702.354670,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_write,2,pass,415.283,256.000,MiB,616.447212,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_write,3,pass,415.099,256.000,MiB,616.719739,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_write,4,pass,465.023,256.000,MiB,550.510893,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_write,5,pass,416.000,256.000,MiB,615.384358,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_warm_read,1,pass,114.143,256.000,MiB,2242.794901,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_warm_read,2,pass,114.298,256.000,MiB,2239.750761,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_warm_read,3,pass,114.341,256.000,MiB,2238.920174,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_warm_read,4,pass,114.416,256.000,MiB,2237.442796,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,rootfs_warm_read,5,pass,63.950,256.000,MiB,4003.111669,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,tmpfs_write,1,pass,214.411,256.000,MiB,1193.970308,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,tmpfs_write,2,pass,264.791,256.000,MiB,966.801768,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,tmpfs_write,3,pass,217.221,256.000,MiB,1178.521731,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,tmpfs_write,4,pass,214.331,256.000,MiB,1194.414080,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,tmpfs_write,5,pass,214.145,256.000,MiB,1195.450184,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,tmpfs_warm_read,1,pass,113.998,256.000,MiB,2245.653196,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,tmpfs_warm_read,2,pass,114.062,256.000,MiB,2244.387359,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,tmpfs_warm_read,3,pass,114.053,256.000,MiB,2244.560844,MiB/s,,,0,
a3s-os-linux-x86_64-sandbox-persistent,sandbox,tmpfs_warm_read,4,pass,113.905,256.000,MiB,2247.487355,MiB/s,,,0,
