host_lane,isolation,mechanism,iteration,status,elapsed_ms,work_units,work_unit,rate_per_second,rate_unit,observed_value,observed_unit,exit_code,note
macos-arm64-hvf,microvm,preflight_noop,1,pass,5806.835,1.000,operation,0.172211,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,1,pass,2265.337,1.000,operation,0.441435,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,2,pass,2274.333,1.000,operation,0.439689,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,3,pass,2171.400,1.000,operation,0.460532,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,4,pass,2152.359,1.000,operation,0.464607,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,5,pass,2203.823,1.000,operation,0.453757,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,6,pass,2199.156,1.000,operation,0.454720,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,7,pass,2226.283,1.000,operation,0.449179,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,8,pass,2156.016,1.000,operation,0.463819,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,9,pass,2164.951,1.000,operation,0.461904,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,10,pass,2322.047,1.000,operation,0.430654,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,11,pass,2155.249,1.000,operation,0.463984,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,12,pass,2338.738,1.000,operation,0.427581,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,13,pass,2207.479,1.000,operation,0.453005,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,14,pass,2274.025,1.000,operation,0.439749,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,15,pass,2274.755,1.000,operation,0.439608,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,16,pass,2162.520,1.000,operation,0.462424,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,17,pass,2173.909,1.000,operation,0.460001,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,18,pass,2267.591,1.000,operation,0.440997,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,19,pass,2167.197,1.000,operation,0.461425,operations/s,,,0,
macos-arm64-hvf,microvm,cold_noop_lifecycle,20,pass,2144.624,1.000,operation,0.466282,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,1,pass,2189.154,1.000,operation,0.456798,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,2,pass,2305.147,1.000,operation,0.433812,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,3,pass,2400.382,1.000,operation,0.416600,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,4,pass,2202.373,1.000,operation,0.454056,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,5,pass,2279.039,1.000,operation,0.438781,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,6,pass,2246.137,1.000,operation,0.445209,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,7,pass,2163.882,1.000,operation,0.462132,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,8,pass,2168.535,1.000,operation,0.461141,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,9,pass,2160.657,1.000,operation,0.462822,operations/s,,,0,
macos-arm64-hvf,microvm,volume_backed_init,10,pass,2361.423,1.000,operation,0.423474,operations/s,,,0,
macos-arm64-hvf,microvm,idle_memory,1,pass,,,,,,135593984.000,bytes,0,
macos-arm64-hvf,microvm,exec_noop,1,pass,123.357,1.000,operation,8.106542,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,2,pass,125.686,1.000,operation,7.956314,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,3,pass,129.265,1.000,operation,7.736061,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,4,pass,126.666,1.000,operation,7.894791,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,5,pass,133.687,1.000,operation,7.480136,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,6,pass,129.069,1.000,operation,7.747794,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,7,pass,129.924,1.000,operation,7.696790,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,8,pass,181.720,1.000,operation,5.502956,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,9,pass,130.714,1.000,operation,7.650317,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,10,pass,127.602,1.000,operation,7.836886,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,11,pass,128.928,1.000,operation,7.756255,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,12,pass,129.446,1.000,operation,7.725246,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,13,pass,180.020,1.000,operation,5.554945,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,14,pass,127.877,1.000,operation,7.820009,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,15,pass,128.904,1.000,operation,7.757694,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,16,pass,128.732,1.000,operation,7.768054,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,17,pass,130.255,1.000,operation,7.677271,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,18,pass,123.928,1.000,operation,8.069193,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,19,pass,125.312,1.000,operation,7.980082,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,20,pass,132.297,1.000,operation,7.558779,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,21,pass,182.873,1.000,operation,5.468266,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,22,pass,125.811,1.000,operation,7.948457,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,23,pass,126.899,1.000,operation,7.880291,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,24,pass,129.968,1.000,operation,7.694197,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,25,pass,127.038,1.000,operation,7.871658,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,26,pass,129.759,1.000,operation,7.706580,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,27,pass,128.670,1.000,operation,7.771809,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,28,pass,177.678,1.000,operation,5.628156,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,29,pass,137.416,1.000,operation,7.277188,operations/s,,,0,
macos-arm64-hvf,microvm,exec_noop,30,pass,128.855,1.000,operation,7.760636,operations/s,,,0,
macos-arm64-hvf,microvm,cpu_sha256,1,pass,1731.642,256.000,MiB,147.836548,MiB/s,,,0,
macos-arm64-hvf,microvm,cpu_sha256,2,pass,1732.496,256.000,MiB,147.763728,MiB/s,,,0,
macos-arm64-hvf,microvm,cpu_sha256,3,pass,1731.584,256.000,MiB,147.841510,MiB/s,,,0,
macos-arm64-hvf,microvm,cpu_sha256,4,pass,1742.060,256.000,MiB,146.952434,MiB/s,,,0,
macos-arm64-hvf,microvm,cpu_sha256,5,pass,1735.737,256.000,MiB,147.487775,MiB/s,,,0,
macos-arm64-hvf,microvm,memory_zero_copy,1,pass,74.541,512.000,MiB,6868.745333,MiB/s,,,0,
macos-arm64-hvf,microvm,memory_zero_copy,2,pass,76.568,512.000,MiB,6686.906575,MiB/s,,,0,
macos-arm64-hvf,microvm,memory_zero_copy,3,pass,128.083,512.000,MiB,3997.401408,MiB/s,,,0,
macos-arm64-hvf,microvm,memory_zero_copy,4,pass,127.075,512.000,MiB,4029.117995,MiB/s,,,0,
macos-arm64-hvf,microvm,memory_zero_copy,5,pass,129.903,512.000,MiB,3941.401157,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_write,1,pass,451.577,256.000,MiB,566.901584,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_write,2,pass,341.287,256.000,MiB,750.102185,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_write,3,pass,501.123,256.000,MiB,510.852157,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_write,4,pass,1408.107,256.000,MiB,181.804355,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_write,5,pass,346.389,256.000,MiB,739.054292,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_warm_read,1,pass,233.683,256.000,MiB,1095.500191,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_warm_read,2,pass,231.315,256.000,MiB,1106.714352,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_warm_read,3,pass,233.105,256.000,MiB,1098.219699,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_warm_read,4,pass,233.791,256.000,MiB,1094.994517,MiB/s,,,0,
macos-arm64-hvf,microvm,rootfs_warm_read,5,pass,231.330,256.000,MiB,1106.645781,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_write,1,pass,237.673,256.000,MiB,1077.112223,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_write,2,pass,235.548,256.000,MiB,1086.827696,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_write,3,pass,185.253,256.000,MiB,1381.892086,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_write,4,pass,184.655,256.000,MiB,1386.365729,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_write,5,pass,134.840,256.000,MiB,1898.541145,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_warm_read,1,pass,129.136,256.000,MiB,1982.413821,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_warm_read,2,pass,128.923,256.000,MiB,1985.683301,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_warm_read,3,pass,132.877,256.000,MiB,1926.592564,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_warm_read,4,pass,127.541,256.000,MiB,2007.191784,MiB/s,,,0,
macos-arm64-hvf,microvm,tmpfs_warm_read,5,pass,130.630,256.000,MiB,1959.732969,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_write,1,pass,390.679,256.000,MiB,655.270113,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_write,2,pass,339.236,256.000,MiB,754.635965,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_write,3,pass,292.531,256.000,MiB,875.120179,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_write,4,pass,285.809,256.000,MiB,895.704118,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_write,5,pass,336.375,256.000,MiB,761.055748,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_warm_read,1,pass,236.034,256.000,MiB,1084.589701,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_warm_read,2,pass,240.505,256.000,MiB,1064.426382,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_warm_read,3,pass,228.329,256.000,MiB,1121.189569,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_warm_read,4,pass,234.885,256.000,MiB,1089.895445,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_warm_read,5,pass,237.066,256.000,MiB,1079.865967,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_write,1,pass,395.328,256.000,MiB,647.563883,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_write,2,pass,289.232,256.000,MiB,885.102874,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_write,3,pass,349.111,256.000,MiB,733.291656,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_write,4,pass,343.855,256.000,MiB,744.500765,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_write,5,pass,340.563,256.000,MiB,751.696272,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_warm_read,1,pass,233.994,256.000,MiB,1094.046512,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_warm_read,2,pass,236.026,256.000,MiB,1084.627612,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_warm_read,3,pass,227.235,256.000,MiB,1126.586185,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_warm_read,4,pass,238.788,256.000,MiB,1072.078802,MiB/s,,,0,
macos-arm64-hvf,microvm,named_volume_warm_read,5,pass,238.738,256.000,MiB,1072.305950,MiB/s,,,0,
macos-arm64-hvf,microvm,bind_metadata_create_delete,1,fail,776.518,2000.000,file,2575.600033,files/s,,,1,command failed; inspect sample log
macos-arm64-hvf,microvm,bind_metadata_create_delete,2,pass,1790.009,2000.000,file,1117.312974,files/s,,,0,
macos-arm64-hvf,microvm,bind_metadata_create_delete,3,pass,1622.845,2000.000,file,1232.403682,files/s,,,0,
macos-arm64-hvf,microvm,bind_metadata_create_delete,4,pass,1637.302,2000.000,file,1221.521965,files/s,,,0,
macos-arm64-hvf,microvm,bind_metadata_create_delete,5,pass,1568.515,2000.000,file,1275.091780,files/s,,,0,
macos-arm64-hvf,microvm,host_http_requests,1,fail,126.501,50.000,request,395.254702,requests/s,,,1,command failed; inspect sample log
macos-arm64-hvf,microvm,host_http_64k_downloads,1,fail,969.163,64.000,MiB,66.036338,MiB/s,,,1,command failed; inspect sample log
macos-arm64-hvf,microvm,host_http_requests,2,fail,129.171,50.000,request,387.084163,requests/s,,,1,command failed; inspect sample log
macos-arm64-hvf,microvm,host_http_64k_downloads,2,pass,2785.117,64.000,MiB,22.979287,MiB/s,,,0,
macos-arm64-hvf,microvm,host_http_64k_downloads_first_attempt_failures,2,pass,,,,,,9.000,requests,0,
macos-arm64-hvf,microvm,host_http_requests,3,fail,122.770,50.000,request,407.267138,requests/s,,,1,command failed; inspect sample log
macos-arm64-hvf,microvm,host_http_64k_downloads,3,pass,2993.364,64.000,MiB,21.380627,MiB/s,,,0,
macos-arm64-hvf,microvm,host_http_64k_downloads_first_attempt_failures,3,pass,,,,,,24.000,requests,0,
macos-arm64-hvf,microvm,host_http_requests,4,fail,186.652,50.000,request,267.878610,requests/s,,,1,command failed; inspect sample log
macos-arm64-hvf,microvm,host_http_64k_downloads,4,pass,2832.124,64.000,MiB,22.597884,MiB/s,,,0,
macos-arm64-hvf,microvm,host_http_64k_downloads_first_attempt_failures,4,pass,,,,,,13.000,requests,0,
macos-arm64-hvf,microvm,host_http_requests,5,fail,124.415,50.000,request,401.879591,requests/s,,,1,command failed; inspect sample log
macos-arm64-hvf,microvm,host_http_64k_downloads,5,pass,3096.920,64.000,MiB,20.665695,MiB/s,,,0,
macos-arm64-hvf,microvm,host_http_64k_downloads_first_attempt_failures,5,pass,,,,,,7.000,requests,0,
macos-arm64-hvf,microvm,parallel_4_cold_noop,1,pass,3332.489,4.000,operation,1.200304,operations/s,,,0,
macos-arm64-hvf,microvm,parallel_4_cold_noop,2,pass,3177.556,4.000,operation,1.258829,operations/s,,,0,
macos-arm64-hvf,microvm,parallel_4_cold_noop,3,pass,3231.389,4.000,operation,1.237858,operations/s,,,0,
macos-arm64-hvf,microvm,parallel_4_cold_noop,4,pass,2739.175,4.000,operation,1.460294,operations/s,,,0,
macos-arm64-hvf,microvm,parallel_4_cold_noop,5,pass,3188.025,4.000,operation,1.254695,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,1,pass,2304.599,1.000,operation,0.433915,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,2,pass,2152.751,1.000,operation,0.464522,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,3,pass,2166.934,1.000,operation,0.461481,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,4,pass,2259.615,1.000,operation,0.442553,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,5,pass,2199.304,1.000,operation,0.454689,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,6,pass,2204.007,1.000,operation,0.453719,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,7,pass,2278.341,1.000,operation,0.438916,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,8,pass,2154.297,1.000,operation,0.464189,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,9,pass,2159.024,1.000,operation,0.463172,operations/s,,,0,
macos-arm64-hvf,microvm,tee_simulated_lifecycle,10,pass,2157.350,1.000,operation,0.463532,operations/s,,,0,
macos-arm64-hvf,microvm,pool_cold_fill,1,pass,6808.582,4.000,VM,0.587494,VMs/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,1,pass,239.720,1.000,operation,4.171525,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,2,pass,393.669,1.000,operation,2.540204,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,3,pass,350.632,1.000,operation,2.851993,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,4,pass,1917.443,1.000,operation,0.521528,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,5,pass,2020.591,1.000,operation,0.494905,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,6,pass,1992.591,1.000,operation,0.501859,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,7,pass,1996.688,1.000,operation,0.500829,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,8,pass,1953.253,1.000,operation,0.511966,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,9,pass,1846.587,1.000,operation,0.541539,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,10,pass,2006.745,1.000,operation,0.498319,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,11,pass,2096.862,1.000,operation,0.476903,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,12,pass,1893.944,1.000,operation,0.527999,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,13,pass,1901.430,1.000,operation,0.525920,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,14,pass,2054.953,1.000,operation,0.486629,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,15,pass,2601.991,1.000,operation,0.384321,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,16,pass,2048.730,1.000,operation,0.488107,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,17,pass,1957.858,1.000,operation,0.510762,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,18,pass,1992.375,1.000,operation,0.501913,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,19,pass,1942.925,1.000,operation,0.514688,operations/s,,,0,
macos-arm64-hvf,microvm,warm_pool_acquire,20,pass,1914.793,1.000,operation,0.522250,operations/s,,,0,
macos-arm64-hvf,microvm,snapshot_fork_fill,1,pass,28683.485,4.000,VM,0.139453,VMs/s,,,0,
macos-arm64-hvf,microvm,snapshot_fork_fill,2,pass,29162.255,4.000,VM,0.137164,VMs/s,,,0,
macos-arm64-hvf,microvm,snapshot_fork_fill,3,pass,29131.279,4.000,VM,0.137309,VMs/s,,,0,
